count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
28119,N,2005,2005-06-08,18,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,15,28,738,12,23,8,0,0,0,0,0,8,809
28119,S,2005,2005-06-08,7,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,9,25,357,11,74,41,4,3,3,4,4,59,526
28119,S,2005,2005-06-08,8,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,15,26,478,10,83,48,2,2,1,5,1,59,656
28119,S,2005,2005-06-08,9,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,4,19,453,8,121,57,1,10,0,1,0,69,670
28119,S,2005,2005-06-08,10,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,7,16,392,9,67,56,0,6,1,5,2,70,554
28119,S,2005,2005-06-08,11,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,3,14,464,11,94,57,3,4,0,1,3,68,651
28119,S,2005,2005-06-08,12,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,8,21,459,12,81,63,0,4,0,2,0,69,642
28119,S,2005,2005-06-08,13,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,10,25,461,6,83,40,0,6,0,2,1,49,624
28119,S,2005,2005-06-08,14,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,12,23,641,14,127,66,3,14,0,1,0,84,889
28119,S,2005,2005-06-08,15,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,13,27,569,6,148,47,1,8,0,1,3,60,810
28119,S,2005,2005-06-08,16,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,25,45,675,8,182,43,1,3,0,0,1,48,958
28119,S,2005,2005-06-08,17,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,35,63,819,12,114,25,0,1,0,0,0,26,1034
28119,S,2005,2005-06-08,18,6,London,146,"Hammersmith and Fulham",A219,Major,A404,A40,522720,182000,51.52359300,-0.23249322,2.10,1.30,33,55,749,12,102,17,2,1,0,0,0,20,938
36119,E,2005,2005-09-21,7,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,6,224,2229,47,624,81,11,10,8,2,6,118,3242
36119,E,2005,2005-09-21,8,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,10,198,2350,18,403,52,7,10,5,2,2,78,3047
36119,E,2005,2005-09-21,9,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,8,109,2101,47,326,73,6,6,4,9,3,101,2684
36119,E,2005,2005-09-21,10,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,0,68,1820,47,270,58,7,9,7,7,2,90,2295
36119,E,2005,2005-09-21,11,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,3,51,1989,36,351,50,3,5,5,6,4,73,2500
36119,E,2005,2005-09-21,12,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,7,115,2244,79,327,52,5,9,2,3,2,73,2838
36119,E,2005,2005-09-21,13,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,6,105,2047,60,463,47,9,9,0,4,5,74,2749
36119,E,2005,2005-09-21,14,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,2,78,1818,56,370,54,5,13,1,7,4,84,2406
36119,E,2005,2005-09-21,15,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,3,67,2147,57,373,44,3,12,6,5,1,71,2715
36119,E,2005,2005-09-21,16,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,4,64,2233,55,283,48,3,4,7,2,0,64,2699
36119,E,2005,2005-09-21,17,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,20,108,2390,50,177,26,0,1,2,3,0,32,2757
36119,E,2005,2005-09-21,18,6,London,146,"Hammersmith and Fulham",A4,Major,A219,"LA Boundary",524000,178400,51.49096019,-0.21531737,1.10,0.68,11,102,2276,45,119,31,2,0,1,0,1,35,2577
